OpCodes:
00: PUSH_INT
01: PUSH_STRING
02: LOAD_INT
03: LOAD_STRING
04: STORE_INT
05: STORE_STRING
06: ADD
07: SUB
08: MUL
09: DIV
0a: MOD
0b: AND
0c: OR
0d: NOT
0e: CMP_EQUAL
0f: CMP_NOT_EQUAL
10: CMP_LESS
11: CMP_LESS_EQUAL
12: CMP_GREATER
13: CMP_GREATER_EQUAL
14: PRINT
15: RETURN
16: JUMP
17: HALT
18: LABEL
19: CALL
1a: JUMP_IF_FALSE
